epoch,acc,loss,val_acc,val_loss
0,0.5784313725490197,1.0663564631427296,0.6463547334707341,1.0300174558512922
1,0.6813725490196079,0.8569397653548416,0.7268770403260116,0.8852905527940902
2,0.7058823529411765,0.7475081259173733,0.7584330794990257,0.7343048356043761
3,0.7369281045751634,0.6863684740043317,0.762785636626338,0.69851637437891
4,0.7489106753812637,0.6396908324423869,0.8019586507721487,0.5963833035011415
5,0.7723311546840959,0.5949680732303423,0.8150163221540856,0.5638256901885272
6,0.7892156862745098,0.5576549234002633,0.8128400435904294,0.5262473802993295
7,0.7968409586056645,0.5480661798463343,0.8324265506633347,0.5117982173899961
8,0.8082788671023965,0.51792664135439,0.8346028292269909,0.4946553946773687
9,0.8120915032679739,0.5089823927908876,0.8400435256361313,0.4946770042148586
10,0.8191721132897604,0.49470519031497423,0.8443960827634436,0.4926703392616164
11,0.8224400871459695,0.48580748105192384,0.8520130577362401,0.46633217526727455
12,0.8311546840958606,0.46596281563767794,0.8531011970180682,0.44937526743546924
13,0.8246187363834423,0.46887873489387366,0.850924918454412,0.4495126558984584
14,0.8327886710239651,0.4614277248476756,0.8520130577362401,0.4503499070046646
15,0.835239651416122,0.44820258338288416,0.8552774755817243,0.4468653730650851
16,0.8349673202614379,0.44476749370085616,0.8585418934272085,0.4391799967845454
17,0.840958605664488,0.4347054488081404,0.8563656148635523,0.429897009288655
18,0.8366013071895425,0.4376608093720247,0.8607181719908646,0.42115406519343207
19,0.8431372549019608,0.43485663808965425,0.8531011970180682,0.44004101759396386
20,0.843681917211329,0.435058412284637,0.8585418934272085,0.421970352879092
21,0.8474945533769063,0.4164903988196334,0.8596300327090366,0.42286839199143994
22,0.8464052287581699,0.4240462587261674,0.8520130577362401,0.44503536077785805
23,0.8461328976034859,0.415443998003761,0.8574537541453805,0.4163089626761593
