epoch,acc,loss,val_acc,val_loss
0,0.3238017425947459,1.4351405668881982,0.4951033723886176,1.3648522059728063
1,0.4278322436840706,1.2735022895995827,0.37867246864929033,1.4330212552347692
2,0.4528867101097938,1.2374847849469819,0.5462459169482251,1.2547878556204828
3,0.48011982603270503,1.1370897716426642,0.4831338410668067,1.2294292025778837
4,0.5098039211790546,1.1145644367130754,0.5821545179831968,1.1562102737312607
5,0.5166122008253027,1.0720443400941904,0.5614798656615132,1.1837254034941034
6,0.563725490325936,1.0185164075531472,0.24918389505219277,2.120421958306928
7,0.5443899779537924,1.050047464360339,0.6332970668234426,0.977356237153623
8,0.5697167753394133,1.0035100328636586,0.4254624580597592,1.2308167446165532
9,0.5846949894963267,0.9713552955189042,0.2927094683034895,1.6052090733821816
10,0.5868736379546537,0.9657215130614819,0.5190424382751473,1.2167595218911653
11,0.6318082791268176,0.8866193682799413,0.6267682230252047,1.0277025246905553
12,0.6315359473228455,0.8922955636624936,0.36452666074199697,1.4437161785214978
