Opt,CNN_Layers,Dense_Layers,Arch,Loss,Acc
rmsprop,8,3,8_3,1.701788,22.6957
Adamax,3,1,3_1,0.408491,86.7826
Nadam,2,2,2_2,0.302482,89.8261
rmsprop,4,0,4_0,0.530050,84.3478
Adagrad,1,2,1_2,0.315002,89.1304
Adadelta,8,3,8_3,1.729393,22.6957
Adamax,6,3,6_3,1.800682,22.7826
Adagrad,8,1,8_1,1.578797,22.6957
Adadelta,6,1,6_1,1.319285,41.0435
Adamax,7,2,7_2,1.748138,22.6957
Nadam,1,3,1_3,0.319185,89.3043
Adamax,3,1,3_1,0.374927,87.7391
rmsprop,4,3,4_3,1.338303,38.2609
Adadelta,0,2,0_2,0.249237,91.3043
Adam,4,2,4_2,1.509108,30.3478
Adadelta,4,1,4_1,0.902395,66.6087
rmsprop,6,3,6_3,2.462617,20.1739
Nadam,2,1,2_1,0.329102,88.3478
Adam,3,0,3_0,0.478786,84.6087
Nadam,6,3,6_3,2.567966,20.2609
Adadelta,0,3,0_3,0.321654,88.0000
Adadelta,8,1,8_1,1.375333,28.1739
Adagrad,3,1,3_1,0.580994,80.5217
Adagrad,1,3,1_3,0.250184,91.1304
SGD,4,4,4_4,1.584283,29.6522
Nadam,4,4,4_4,1.436929,34.4348
Adagrad,1,2,1_2,0.244671,91.5652
Adadelta,4,3,4_3,1.162286,47.7391
SGD,6,4,6_4,1.590064,29.6522
rmsprop,5,1,5_1,1.289295,43.0435
Adam,6,4,6_4,2.011975,22.6957
SGD,0,4,0_4,1.566877,29.6522
Adamax,1,4,1_4,0.250751,91.5652
Adamax,0,0,0_0,0.393451,86.7826
Adagrad,0,0,0_0,0.433467,85.0435
SGD,1,1,1_1,0.726237,71.3913
Nadam,5,2,5_2,1.783119,28.4348
Adam,3,3,3_3,1.280198,45.7391
SGD,8,1,8_1,1.591650,29.6522
Adadelta,8,3,8_3,1.548173,22.6957
Adamax,1,2,1_2,0.255446,91.3043
Adamax,8,3,8_3,1.876426,22.6957
Adadelta,1,2,1_2,0.430200,83.8261
Adagrad,7,4,7_4,2.246991,24.2609
SGD,4,3,4_3,1.577150,29.6522
Adagrad,0,1,0_1,0.295736,89.7391
Adagrad,4,2,4_2,1.486368,31.6522
Adam,2,4,2_4,0.336360,88.3478
rmsprop,4,0,4_0,0.580231,81.7391
Adagrad,3,1,3_1,0.519474,83.3913
rmsprop,7,0,7_0,1.425080,26.5217
Adam,5,2,5_2,2.114569,21.0435
Adagrad,5,1,5_1,1.519940,31.7391
Adadelta,5,2,5_2,1.435360,27.7391
Adagrad,6,3,6_3,1.947352,21.3913
rmsprop,6,1,6_1,1.518650,26.3478
Adadelta,0,2,0_2,0.393658,85.3043
Adamax,6,1,6_1,1.610018,23.4783
Adadelta,2,0,2_0,0.423826,85.6522
Nadam,8,1,8_1,1.314007,32.6087
Nadam,5,0,5_0,0.525871,81.0435
rmsprop,3,4,3_4,1.727729,28.0870
Adadelta,7,2,7_2,1.442063,29.1304
rmsprop,1,4,1_4,0.298224,90.0000
Adam,3,0,3_0,0.418518,87.3043
Adamax,8,3,8_3,1.713800,22.6957
Adam,3,2,3_2,0.295470,89.8261
Nadam,0,3,0_3,0.271329,92.0870
Adamax,4,0,4_0,0.462556,85.8261
Adamax,5,2,5_2,1.671137,29.8261
rmsprop,5,1,5_1,1.137594,52.9565
Nadam,0,4,0_4,0.259166,91.8261
Adamax,6,3,6_3,2.009257,22.6957
Adadelta,7,4,7_4,1.909935,22.6957
Adam,0,3,0_3,0.242948,92.5217
SGD,6,3,6_3,1.588132,29.6522
SGD,1,3,1_3,1.537991,29.6522
rmsprop,2,2,2_2,0.296239,90.1739
Nadam,2,4,2_4,0.516502,82.9565
Adam,6,2,6_2,1.953877,22.0870
rmsprop,6,4,6_4,2.004324,22.6957
Adamax,3,1,3_1,0.351123,88.5217
Adagrad,0,2,0_2,0.256907,91.3043
Adam,7,2,7_2,1.934165,22.6957
rmsprop,0,3,0_3,0.550635,83.0435
Adagrad,8,1,8_1,1.642180,22.6957
Adadelta,7,3,7_3,1.580997,22.6957
Adamax,3,0,3_0,0.410972,87.3913
