epoch,acc,loss,val_acc,val_loss
0,0.3594771237934337,1.3412448624899704,0.5778019570292534,1.0883350137527932
1,0.5866013073194001,1.007442186211189,0.6964091439371659,0.7620818492377803
2,0.6691176465393931,0.8080198297313615,0.7410228489791737,0.6689819111139134
3,0.7301198254483457,0.6984946140796271,0.7442872689649771,0.6168487926172873
4,0.7617102395215585,0.6178086228619993,0.7965179515741077,0.5446988946724768
5,0.7875816986971171,0.562335512671855,0.8106637643781918,0.47257603067697973
6,0.8183551203451385,0.48318164553777326,0.8433079432870411,0.4263799910446765
7,0.8385076257917616,0.4520151987184886,0.8650707272372905,0.3879182595228604
8,0.8447712413106349,0.42276980557472876,0.8628944520462584,0.383208842350168
9,0.8523965144209352,0.3996402362203286,0.8618063115321254,0.36330534772333306
10,0.8638344223982368,0.37546978004617626,0.8628944541865775,0.36408096736740886
11,0.8700980385663982,0.3645244986792795,0.8803046831498338,0.32245077061445593
12,0.8782679733367786,0.3316897525896434,0.872687702210087,0.3371353629688703
13,0.881535947452703,0.32377274110426313,0.8933623490188275,0.3098418472640792
14,0.887254902090642,0.3171325947983852,0.8879216542959991,0.30515932462809525
15,0.8826252727207275,0.3005939102315695,0.8748639829140623,0.33344468980281733
16,0.8946078436566853,0.285100390513738,0.884657238590834,0.30250455275323884
17,0.888071895944267,0.301908425840677,0.8715995684412021,0.32214388452364906
18,0.8913398695407609,0.2968414747896797,0.8868335150141711,0.3071118184285273
